Name,Region,Longitude,Latitude,Water depth (m),Annual mean SST (°C)a,Annual mean temperature 0-200 m (°C)a,fGDGT-0,fGDGT-1,fGDGT-2,fGDGT-3,fcren,fcren',fOH-GDGT-0,fOH-GDGT-1,fOH-GDGT-2,GDGT-0,GDGT-1,GDGT-2,GDGT-3,cren,cren',OH-GDGT-0,OH-GDGT-1,OH-GDGT-2,BITd,TEX86,RI-OH,RI-OH',OHC,%OH,TEX86OH,Lab,Methodse,MS infof,Reference paper,Reference paper for non-hydroxylated isoGDGTs
Cariaco Basin,Cariaco Basin,-65.6,10.67,,26.6,20.9,0.16,0.05,0.08,0.01,0.66,0.04,,,,2546538,829247,1241918,230069,10531870,626026,,,,,0.72,,,,,0.72,NIOZ,2,1,This study,"Kim et al., 2010"
CB2 MC19,North Pacific,-125.83,46.77,2700,12.4,8.8,0.42,0.07,0.04,0,0.46,0.01,0.74,0.18,0.09,4057957,633016,398574,34952,4386465,115320,132591,31975,15589,0.02,0.46,1.33,0.35,0.31,1.84,0.42,NIOZ,2,1,This study,"Kim et al., 2010"
CL03-35 BC,Gulf of St. Lawrence,-58.71,46.62,370,6.3,2.9,0.5,0.03,0.01,0,0.46,0,0.88,0.09,0.02,9010254,508166,186466,36644,8298210,41180,896709,100490,28051,,0.34,1.2,0.14,-0.35,5.37,0.16,NIOZ,2,1,This study,"Kim et al., 2010"
DNT05-22 BEN,Gulf of St. Lawrence,-58.71,46.62,18,6.3,2.9,0.48,0.03,0.01,0,0.47,0,0.61,0.3,0.09,2545089,178067,56575,16701,2494438,5408,126770,61597,19299,,0.31,1.24,0.48,-0.1,3.77,0.21,NIOZ,2,1,This study,"Kim et al., 2010"
G2-85 7 0-1,Savu Sea,123.6,-9,,28.2,21.7,0.27,0.07,0.06,0.01,0.56,0.03,,,,3697947,908795,870199,144142,7632834,387935,,,,,0.61,,,,,0.61,NIOZ,2,1,This study,"Kim et al., 2010"
G2-85 pist 0-1,Savu Sea,123.64,-8.99,,28.2,21.7,0.27,0.07,0.07,0.01,0.55,0.03,0.48,0.19,0.33,4156356,1079708,1043996,196152,8602796,443396,67958,27179,46059,,0.61,1.63,0.84,0.56,0.9,0.59,NIOZ,2,1,This study,"Kim et al., 2010"
G2-9 box 0-1,Savu Sea,123.59,-9.34,2720,28.2,21.7,0.24,0.07,0.07,0.02,0.56,0.04,0.45,0.2,0.35,3732086,1121143,1082322,254573,8800849,682333,69161,30251,53596,0.05,0.64,1.64,0.9,0.59,0.97,0.63,NIOZ,2,1,This study,"Kim et al., 2010"
G2-9 trp 0-1,Savu Sea,123.59,-9.34,2720,28.2,21.7,0.22,0.07,0.07,0.02,0.57,0.05,0.38,0.19,0.43,4002621,1305782,1349204,308219,10513964,829697,50241,25155,56681,0.02,0.66,1.69,1.05,0.62,0.72,0.65,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB10034-3,West Sumatra,101.5,-4.16,995,29.1,23.2,0.13,0.05,0.07,0.01,0.68,0.06,0.28,0.22,0.5,735236,263018,389008,78347,3882408,346821,10095,7803,18020,0.04,0.76,1.7,1.22,0.72,0.63,0.75,NIOZ,3,1,This study,"Kim et al., 2010"
GeoB2105-3,Rio Grande Rise,-46.74,-26.74,202,23.6,18.8,0.2,0.06,0.05,0.02,0.64,0.04,0.27,0.32,0.41,141276,40345,35823,10485,439966,24449,3084,3562,4631,0.05,0.64,1.57,1.14,0.55,1.6,0.62,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2107-5,Rio Grande Rise,-46.46,-27.18,1052,23.7,18.4,0.28,0.06,0.07,0.01,0.55,0.02,,,,2699346,583764,699280,72127,5240870,228764,,,,,0.63,,,,,0.63,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2110-1,Rio Grande Rise,-45.52,-28.65,3003,23.1,20.6,0.29,0.07,0.08,0.01,0.52,0.04,0.52,0.23,0.25,2031859,477942,575365,63042,3669658,263754,39629,17581,18698,0.07,0.65,1.52,0.72,0.59,1.06,0.64,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2112-1,Rio Grande Rise,-43.38,-29.14,4009,22,19.3,0.29,0.07,0.07,0.01,0.53,0.04,0.65,0.19,0.16,3395284,775519,834620,81947,6147193,443036,94170,27394,23843,0.07,0.64,1.47,0.52,0.55,1.23,0.61,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2124-1,Brazil,-39.56,-20.96,2003,25.7,21.9,0.28,0.06,0.08,0.01,0.54,0.04,0.45,0.26,0.29,3784532,861712,1052667,129649,7281373,493931,68622,39267,43722,0.04,0.66,1.53,0.84,0.6,1.1,0.64,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2125-2,Brazil,-39.86,-20.82,1542,25.7,21.9,0.24,0.06,0.07,0.01,0.59,0.04,,,,85242,20978,24068,3794,214155,13948,,,,0.08,0.67,,,,,0.67,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2130-1,Brazil,-37.1,-20.62,2113,25.9,22.5,0.41,0.09,0.1,0.01,0.37,0.03,,,,506844,106928,118820,18568,464701,32509,,,,0.28,0.61,,,,,0.61,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2201-1,Equatorial Atlantic,-34.46,-8.17,794,27.3,23.7,0.12,0.04,0.06,0.01,0.72,0.06,0.29,0.28,0.43,155534,47627,73587,18640,924825,71690,5287,5186,7863,0.21,0.77,1.6,1.14,0.69,1.4,0.76,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2202-5,Equatorial Atlantic,-34.26,-8.2,1128,27.3,23.7,0.26,0.09,0.08,0.02,0.52,0.03,0.42,0.28,0.3,6075854,2176857,1796926,364845,12301691,801670,79306,51873,57130,0.07,0.58,1.52,0.88,0.54,0.79,0.57,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2205-4,Equatorial Atlantic,-34.35,-8.57,1790,27.3,23.7,0.23,0.06,0.08,0.01,0.58,0.04,0.48,0.21,0.3,1729002,474306,602497,68097,4405182,324031,21502,9458,13450,0.05,0.68,1.59,0.82,0.64,0.58,0.67,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2206-1,Equatorial Atlantic,-34.48,-8.56,1442,27.3,23.7,0.26,0.07,0.08,0.01,0.54,0.04,0.44,0.28,0.28,2066702,527937,662400,90518,4319798,291451,28745,18500,18475,0.05,0.66,1.5,0.84,0.62,0.82,0.65,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2207-2,Equatorial Atlantic,-34.14,-8.74,2585,27.3,23.7,0.29,0.08,0.08,0.01,0.51,0.03,,,,6276385,1679293,1847119,130929,11199176,613761,,,,,0.61,,,,,0.61,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2215-8,Equatorial Atlantic,-23.49,0.01,3712,26.7,19.1,0.32,0.08,0.07,0.01,0.5,0.03,0.6,0.17,0.23,11675078,2703252,2443334,214509,18041217,959289,157504,45170,61448,,0.57,1.58,0.64,0.53,0.73,0.56,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2701-4,Western South Atlantic,-55.02,-37.81,576,13.4,4.2,0.41,0.02,0,0,0.57,0,0.87,0.11,0.02,19628299,802116,235013,123458,27434463,157803,2362633,303296,54329,0.01,0.39,1.15,0.15,-0.46,5.32,0.14,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2703-7,Western South Atlantic,-54.2,-38.51,1162,12.3,8.2,0.49,0.04,0.01,0,0.45,0.01,0.84,0.12,0.03,86940275,6306181,2582167,584379,81098345,1266878,7392329,1073777,292765,0.02,0.41,1.21,0.19,-0.15,4.67,0.24,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2706-6,Western South Atlantic,-55.54,-42.37,4700,11,6.4,0.49,0.06,0.03,0,0.41,0.01,0.8,0.14,0.05,3229740,385478,176916,25439,2738304,64197,205903,36484,13766,0.01,0.41,1.27,0.25,0.07,3.73,0.31,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2708-5,Western South Atlantic,-57.3,-41.42,392,9.2,6,0.44,0.02,0.01,0,0.53,0,0.86,0.11,0.03,3203129,126156,38967,17098,3863522,26571,313908,40874,9160,0.01,0.4,1.18,0.16,-0.4,4.76,0.16,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2715-1,Western South Atlantic,-57.66,-43.9,3280,10.1,5.9,0.52,0.06,0.02,0,0.39,0.01,0.82,0.13,0.05,4688480,509590,196243,28557,3531617,62061,231852,36667,13468,0,0.36,1.27,0.23,0.05,3.03,0.28,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2727-1,Western South Atlantic,-56.54,-48.01,2803,6.9,5.1,0.61,0.06,0.02,0,0.29,0.01,0.83,0.13,0.05,9645531,997129,369231,45934,4549023,81735,569166,86863,31421,0.01,0.33,1.27,0.22,-0.03,4.2,0.24,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2734-2,Western South Atlantic,-54.34,-39.29,2272,12.1,8,0.47,0.04,0.02,0,0.46,0.01,0.84,0.12,0.04,48287572,4224406,1750390,288260,46712554,630814,3224751,476448,144354,0.01,0.39,1.23,0.2,-0.05,3.64,0.26,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2802-2,Western South Atlantic,-53.98,-37.21,1007,16.9,13.5,0.29,0.02,0.01,0,0.67,0.01,0.84,0.13,0.03,36760252,2679700,1449617,418294,83905496,935417,5486074,821537,216559,0.01,0.51,1.21,0.19,-0.22,4.92,0.26,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2803-1,Western South Atlantic,-53.7,-37.41,1162,16.9,13.5,0.47,0.04,0.02,0,0.46,0.01,0.84,0.12,0.04,5560166,420624,214206,39679,5423814,86114,435389,64611,19271,0.04,0.45,1.23,0.2,-0.07,4.23,0.28,NIOZ,1,1,This study,"Kim et al., 2010"
GeoB2805-1,Western South Atlantic,-53.44,-37.61,2743,16.9,13.5,0.45,0.04,0.02,0,0.47,0.01,0.84,0.12,0.04,58315526,5203644,2878862,490796,60742767,1136833,4573398,682015,221192,0.01,0.46,1.24,0.21,0,4.08,0.32,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2811-1,Western South Atlantic,-52.27,-35.75,1789,17.4,9.1,0.41,0.04,0.02,0,0.52,0.01,0.82,0.13,0.04,60463217,5239197,3527055,691270,77532446,1624012,5607273,896787,301371,0.02,0.53,1.25,0.22,0.01,4.37,0.35,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2812-3,Western South Atlantic,-52.39,-35.6,1041,17.4,9.1,0.43,0.02,0.01,0,0.53,0,0.86,0.11,0.03,11012586,574975,300536,66884,13761335,91149,936792,132454,36784,,0.44,1.21,0.17,-0.22,4.11,0.23,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2817-3,Rio Grande Rise,-38.07,-30.92,2943,21.5,18.8,0.32,0.07,0.07,0.01,0.5,0.03,0.61,0.19,0.2,1575596,353450,355411,36092,2469131,153111,34213,10743,11182,0.08,0.61,1.51,0.59,0.53,1.12,0.58,NIOZ,2,1,This study,"Kim et al., 2010"
GeoB2819-2,Rio Grande Rise,-38.34,-30.85,3435,21.5,18.8,0.32,0.07,0.07,0.01,0.5,0.03,0.55,0.23,0.23,1588216,360034,349244,39444,2474259,154658,31223,12828,12833,0.1,0.6,1.5,0.68,0.53,1.13,0.58,NIOZ,2,1,This study,"Kim et al., 2010"
