gdgt0_mu,gdgt1_mu,gdgt2_mu,gdgt3_mu,cren_mu,creniso_mu,gdgt0_sig,gdgt1_sig,gdgt2_sig,gdgt3_sig,cren_sig,creniso_sig,gdgt0_max,gdgt1_max,gdgt2_max,gdgt3_max,cren_max,creniso_max,gdgt0_min,gdgt1_min,gdgt2_min,gdgt3_min,cren_min,creniso_min,gdgt0_weights,gdgt1_weights,gdgt2_weights,gdgt3_weights,cren_weights,creniso_weights
-8.263478231,16.22854162,30.04757087,41.56313759,45.48706064,61.54151051,19.66037808,11.43638234,10.6406725,16.90453602,26.37292287,20.78886437,79.80396765,6.558572649,9.424867623,2.382169202,76.10625342,21.92243399,0.702239835,0.867298411,1.18217147,0.321622326,9.384840624,1.326921514,0.058477061,0.509181183,0.538075287,0.86104243,0.019740401,0.283459058
-9.684472311,18.38675112,30.52811719,44.17315749,43.91662537,61.05193996,21.19737248,13.3857489,13.30459037,16.95928978,28.14871357,20.6697545,80.12702107,6.527118004,8.171335583,4.390696618,71.85736064,22.03550047,1.748983615,0.889383683,1.181437322,0.343083806,9.441868954,0.283883379,0.070036411,0.511481505,0.563683172,0.889159662,0.019914102,0.285590664
-4.897210718,16.57708838,32.69285145,33.17135987,58.76977624,58.8912719,20.1406705,8.628620497,11.69624942,10.90823541,47.31696016,20.79784668,54.09062493,6.511334502,9.326129017,3.041759744,76.41865753,17.60677266,1.633187483,0.563030193,0.934424285,0.36289573,8.985420069,1.36710418,0.062397155,0.506209153,0.654409282,0.982016116,0.108840195,0.328051425
-7.66109772,16.22775451,30.1196969,29.91038039,45.46102295,61.54151051,18.50790643,10.52118895,10.62831042,16.97477217,26.37272042,20.63949161,80.14127762,6.558389203,9.477561398,2.391985735,76.3980389,21.92345511,1.455768318,0.869047097,0.532474633,0.321199917,9.193835384,1.326050527,0.058464013,0.509194282,0.561046156,0.982342131,0.019180596,0.305363861
-7.573167647,16.28495357,27.40970519,44.72889853,44.02774313,61.54151051,17.88524893,11.5564325,10.62831042,16.97310605,26.1809807,20.66938214,78.63318817,6.558389203,7.734799384,4.06057461,76.07880932,21.92304452,1.761982187,0.867298411,1.152521443,0.300391827,9.449076165,1.362563898,0.058290612,0.529823307,0.548794326,0.987125179,0.019673569,0.283528041
-5.493510815,16.18684617,30.68157799,47.33519062,42.76304788,61.54176319,17.00418856,10.05192484,10.74665611,19.70758775,26.37478153,20.66994753,68.77827383,6.558389203,9.390276334,3.57078721,75.93634757,21.98934177,1.714312364,0.874225533,1.155353162,0.355942208,16.26151549,0.777255266,0.058464013,0.509176806,0.538147051,0.680778742,0.05398132,0.305443217
-7.898743994,16.22856276,28.97133408,45.61778672,44.26004902,61.46234201,18.9238378,10.07422565,11.76079048,16.93644302,26.1809807,20.66975453,78.64457677,6.592056416,7.727055502,4.071466186,76.32783082,21.8886461,0.677003241,0.867298411,1.190731322,0.364450147,10.53485765,0.852757338,0.058456746,0.511126259,0.536941055,0.984030609,0.018437657,0.305300957
-7.190015593,14.94214908,30.90900077,24.50220404,62.12200955,57.15915186,21.56279255,9.916253697,10.84490459,17.03982479,41.10948926,20.15514286,61.86082582,6.024760311,10.61093264,1.935901961,71.81368971,17.81609752,6.339509132,0.624690578,1.475274683,1.027714632,19.98845307,0.581783089,0.201285715,0.901576853,0.861436597,0.278744178,0.10321114,0.548013038
-5.979395257,16.18684617,30.68157799,47.33519062,42.76304788,61.54176319,17.00418856,10.05192484,10.74665611,19.70758775,26.37478153,20.66994753,68.77827383,6.558389203,9.390276334,3.57078721,75.93634757,21.98934177,1.714312364,0.874225533,1.155353162,0.355942208,16.26151549,0.777255266,0.058464013,0.509176806,0.538147051,0.680778742,0.05398132,0.305443217
-6.855367686,16.46988709,32.00712998,42.5763614,58.43662265,58.8912719,20.18605021,8.595691603,11.69624987,16.84651886,47.31696016,20.29589218,55.12343069,6.482428549,8.156675883,4.975049063,76.4078274,15.39330269,1.591756794,0.561109992,1.003994729,0.361508753,15.1219468,0.750884952,0.059938401,0.505920318,0.544509938,0.828542537,0.104844718,0.302849623
-8.259834157,18.25441988,30.67599977,29.91038039,45.55711808,61.53970381,18.50990959,11.47506487,10.62707789,16.97456795,26.37223563,20.66736563,79.7941153,6.557968617,9.378086071,2.390199648,76.4040323,21.92345511,1.742543718,0.917024168,1.181684166,0.3211811,16.28688217,1.326444108,0.058464013,0.509511595,0.537339817,0.981440103,0.020238147,0.305211216
-8.406959074,14.49977311,31.60372184,38.70140097,64.66165287,57.14361501,21.56279255,9.980341315,11.74164306,19.50280757,42.19272225,20.17442206,62.40063204,6.040137534,10.58921271,4.520520227,71.94850703,16.73153273,6.42561753,0.12102798,1.11586175,0.696550921,20.15895416,0.716076542,0.19842391,0.903697909,0.724532427,0.178906365,0.061818744,0.548013038
